ObjectId,pasport,sl_,elektricka,trolejbus,autobus,mestska_cast,zastavka_nazov,zastavka_smer,x,y
152,54,1,False,False,True,Košice - Sever,"Jahodná, kopec",smer Jahodná - chata,21.1412200927734,48.78071975708
153,54,2,False,False,True,Košice - Sever,"Jahodná, kopec",smer Alpinka,21.1413993835449,48.7808189392089
154,55,1,False,True,True,Košice - Staré Mesto,Jakabov palác,smer Vodná,21.2635898590087,48.7218513488769
155,55,2,False,True,True,Košice - Staré Mesto,Jakabov palác,smer Nám. osloboditeľov,21.2634201049804,48.7207794189453
156,56,1,False,False,True,Košice - Sídlisko KVP,Janigova,smer Sídl. KVP - kláštor,21.2061805725097,48.7165298461914
157,56,2,False,False,True,Košice - Sídlisko KVP,Janigova,smer Klimkovičova,21.206090927124,48.7160682678222
158,57,1,False,True,True,Košice - Dargovských hrdinov,Kalinovská,smer Fábryho,21.2765502929687,48.7435417175292
159,57,2,False,True,True,Košice - Dargovských hrdinov,Kalinovská,smer od Fábryho,21.2775192260742,48.7436599731445
160,58,1,False,False,True,Košice - Západ,Kino Družba,smer Magistrát mesta Košice,21.2338905334472,48.7173194885253
161,58,2,True,False,False,Košice - Západ,Kino Družba,smer Magistrát mesta Košice,21.2337608337402,48.7183990478515
162,58,3,True,False,False,Košice - Západ,Kino Družba,smer Nová nemocnica,21.2338790893554,48.7181205749511
163,58,4,False,False,True,Košice - Západ,Kino Družba,smer Nová nemocnica (výluková),21.2339401245117,48.7084808349609
164,59,1,False,False,True,Košice - Sídlisko KVP,"KVP, kláštor",smer Janigova,21.2069797515869,48.7187614440917
165,59,2,False,True,True,Košice - Sídlisko KVP,"KVP, kláštor",smer Húskova,21.2078800201416,48.7196006774902
166,59,3,False,True,True,Košice - Sídlisko KVP,"KVP, kláštor",konečná,21.2070293426513,48.7197303771972
167,59,4,False,True,True,Košice - Sídlisko KVP,"KVP, kláštor otočka",,21.2060108184814,48.7199745178222
168,60,1,False,False,True,Košice - Sídlisko KVP,Klimkovičova,smer Janigova,21.2079200744628,48.7126502990722
169,60,2,False,False,True,Košice - Sídlisko KVP,Klimkovičova,smer Moskovská,21.2080993652343,48.7124404907226
170,61,1,False,False,True,Košice - Myslava,Kolibár,smer Myslavská 87,21.2187900543212,48.7019004821777
171,61,2,False,False,True,Košice - Myslava,Kolibár,smer od Myslavskej 87,21.2171592712402,48.7027587890625
172,63,1,False,False,True,Košice - Kavečany,Kavečany,"smer Kavečany, cintorín",21.2056694030761,48.776138305664
173,63,2,False,False,True,Košice - Kavečany,Kavečany,konečná,21.2056694030761,48.776138305664
174,64,1,False,False,True,Košice - Ťahanovce,Ťahanovská,smer Želiarska,21.2556591033935,48.7576103210449
175,64,2,False,False,True,Košice - Ťahanovce,Ťahanovská,smer Madridská,21.2557201385498,48.7575798034667
176,65,1,False,False,True,Košice - Sídlisko Ťahanovce,Budapeštianska,smer Bruselská,21.2689990997314,48.7525291442871
177,65,2,False,False,True,Košice - Sídlisko Ťahanovce,Budapeštianska,smer od Bruselskej,21.2686004638671,48.7523612976074
178,66,1,False,False,True,Košice - Myslava,"Myslava, kostol",smer Grunt,21.207649230957,48.707218170166
179,66,2,False,False,True,Košice - Myslava,"Myslava, kostol",smer Myslavská 87,21.2082004547119,48.7068290710449
180,67,1,False,False,True,Košice - Vyšné Opátske,Vyšné Opátske,smer V úvoze,21.2840194702148,48.6999282836914
181,67,2,False,False,True,Košice - Vyšné Opátske,Vyšné Opátske,konečná,21.2838706970214,48.7001419067382
182,68,1,False,False,True,Košice - Nad jazerom,Ladožská,smer Dneperská,21.2898902893066,48.6828384399414
183,68,2,False,False,True,Košice - Nad jazerom,Ladožská,smer Rovníková,21.2908096313476,48.681900024414
184,68,3,True,False,False,Košice - Nad jazerom,Ladožská,smer Dneperská,21.2898902893066,48.6830406188964
185,68,4,True,False,False,Košice - Nad jazerom,Ladožská,smer Rovníková,21.289939880371,48.6829109191894
186,69,1,False,False,True,Košice - Barca,"Barca, kostoly","smer Barca, základná škola",21.2657604217529,48.6763191223144
187,69,2,False,False,True,Košice - Barca,"Barca, kostoly",smer Hečkova,21.2656497955322,48.6764793395996
188,70,1,False,False,True,Košice - Krásna ,Žiacka,smer KNH ,21.3119602203369,48.6713104248046
189,70,2,False,False,True,Košice - Krásna ,Žiacka,smer Lackova,21.3183708190917,48.6711997985839
190,70,3,False,False,True,Košice - Krásna ,Žiacka,smer od Teleku,21.3187408447265,48.6715507507324
191,71,1,False,True,True,Košice - Staré Mesto,Krajský súd,smer Ružová/SOŠ automobilová,21.2495994567871,48.716510772705
192,71,2,True,False,False,Košice - Staré Mesto,Krajský súd,smer od Zimného štadióna,21.2505702972412,48.7165412902832
193,71,3,True,False,True,Košice - Staré Mesto,Krajský súd,smer Hlavná pošta,21.2508907318115,48.7175712585449
194,71,4,True,False,True,Košice - Staré Mesto,Krajský súd,smer od Hlavnej pošty,21.2508201599121,48.7174911499023
195,71,5,False,True,True,Košice - Staré Mesto,Krajský súd,smer od SOŠ automobilová/Ružová,21.2493934631347,48.71626663208
196,71,6,True,False,False,Košice - Staré Mesto,Krajský súd,smer Zimný štadión,21.2485656738281,48.7161979675292
197,72,1,True,False,True,Košice - Sever,Okresný úrad,smer Havlíčkova,21.2469806671142,48.7352905273437
198,72,2,True,False,True,Košice - Sever,Okresný úrad,smer Poliklinika Sever,21.247480392456,48.7345581054687
199,72,3,False,False,True,Košice - Sever,Okresný úrad,smer  Mier,21.2469005584716,48.7367897033691
200,72,4,False,False,True,Košice - Sever,Okresný úrad,smer Botanická záhrada,21.2454795837402,48.7365112304687
201,72,5,False,False,True,Košice - Sever,Okresný úrad,smer Pol.sever(Tomášikova ul.),21.248918,48.733723
202,72,6,False,False,True,Košice - Sever,Okresný úrad,smer Pol.sever(Tolstého ul.),21.250926,48.734458
203,73,1,False,False,True,Košice - Sídlisko Ťahanovce,Krematórium,smer Zelený dvor,21.289529800415,48.7723312377929
204,73,2,False,False,True,Košice - Sídlisko Ťahanovce,Krematórium,konečná,21.2899093627929,48.7725982666015
205,74,1,False,False,True,Košice - Sídlisko KVP,Kremnická,smer Drabova,21.2194499969482,48.7053298950195
206,74,2,False,False,True,Košice - Sídlisko KVP,Kremnická,smer od Drabovej,21.2192497253417,48.7051391601562
207,75,1,False,False,True,Košice - Sever,Krupinská,smer Baňa,21.2305297851562,48.7310409545898
208,75,2,False,False,True,Košice - Sever,Krupinská,smer Sládkovičova,21.2304992675781,48.7309684753417
209,76,1,False,False,True,Košice - Košická Nová Ves,Ulica Sv. Ladislava,smer Lingov,21.29660987854,48.7347717285156
210,76,2,False,False,True,Košice - Košická Nová Ves,Ulica Sv. Ladislava,smer Detský domov Satelit,21.2966995239257,48.7345085144042
211,77,1,False,False,True,Košice - Barca,"Barca, kultúrny dom",smer VSS križovatka,21.2628993988037,48.6851005554199
212,77,2,False,False,True,Košice - Barca,"Barca, kultúrny dom",smer Teplého,21.2630500793457,48.6851615905761
213,77,3,False,False,True,Košice - Barca,"Barca, kultúrny dom",smer Katastrálny úrad,21.2669048309326,48.6855010986328
214,78,1,False,False,True,Košice - Krásna ,Krásna,smer  Žiacka,21.3122806549072,48.6726417541503
215,78,2,False,False,True,Košice - Krásna ,Krásna,konečná,21.3123397827148,48.6727218627929
216,79,1,False,False,True,Košice - Šaca,Kvetná,smer Nemocnica Šaca,21.1714191436767,48.6375999450683
217,79,2,False,False,True,Košice - Šaca,Kvetná,"smer Šaca , námestie",21.1715698242187,48.6368408203125
218,80,1,False,False,True,Košice - Krásna ,Lackova,smer od Žiackej,21.319860458374,48.6691818237304
219,80,2,False,False,True,Košice - Krásna ,Lackova,smer Žiacka,21.3200893402099,48.6689109802246
220,80,3,False,False,True,Košice - Krásna ,Lackova,"smer od Motorest, Krásna",21.3218898773193,48.6680908203125
221,80,4,False,False,True,Košice - Krásna,Lackova,"smer Motorest, Krásna",21.3218803405761,48.6679992675781
222,81,1,False,False,True,Košice - Sever,Letecká,smer Suchodolinská,21.2393398284912,48.7424888610839
223,81,2,False,False,True,Košice - Sever,Letecká,smer Havlíčkova,21.2385997772216,48.7427101135253
224,82,1,False,False,True,Košice - Barca,Letisko ,"smer Moldavská, obchodné centrá",21.2373790740966,48.6734008789062
225,82,2,False,False,True,Košice - Barca,Letisko ,konečná,21.2364406585693,48.6729202270507
226,83,1,False,False,True,Košice - Dargovských hrdinov,Lingov,smer Sečovská (l. 55),21.2912006378173,48.7323913574218
227,119,2,False,False,True,Košice - Sever,Obchodná akadémia,smer Amfiteáter,21.2397003173828,48.7301788330078
228,120,1,True,False,False,Košice - Juh,"Železníky, križovatka","smer  Alejová, gymnázium",21.2508201599121,48.7006683349609
229,120,2,True,False,False,Košice - Juh,"Železníky, križovatka",smer Rozvojová,21.2520198822021,48.699909210205
230,120,3,False,False,True,Košice - Juh,"Železníky, križovatka","smer Alejová, gymnázium (výluková)",21.2508201599121,48.7006683349609
231,120,4,False,False,True,Košice - Juh,"Železníky, križovatka",smer Daňový úrad (výluková),21.2520198822021,48.699909210205
232,121,1,True,False,False,Košice - Nad jazerom,Levočská,smer  VSS križovatka,21.2797203063964,48.6907386779785
233,121,2,True,False,False,Košice - Nad jazerom,Levočská,smer Dneperská,21.2801094055175,48.6903915405273
234,121,3,False,False,True,Košice - Nad jazerom,Levočská,smer od Dneperskej,21.2801895141601,48.6902618408203
